4/23,9am,Chenqi Xu,,CAS,T-cell lipid biology,Xiaolei Su 
4/30,9am,Wenxian Fu,,UCSD,Transcriptional regulation of Treg homeostasis and differentiation,Enfu Hui 
5/7,9am,Ning Jiang,,UT Austin,Multi-dimensional single T cell profiling,Wei Chen 
5/14,9pm,Li Tang,,EPFL,Metabolic and Chemical Immunoengineering Enhances Anti-Tumor Immunity,Jiazhi Hu 
5/21,9am,Haopeng Wang,,Shanghai Tech,Design of a RECYCLABLE car with durable antitumor function,Xiaolei Su 
5/28,9am,Jiazhi Hu,,PKU,Phase separation regulation in developing B lymphocytes,Xiaolei Su 
6/4,9am,Bo Zhong,,Wuhan University,Deubiquitinating enzymes in immunity and tumorigenesis: mechanisms and targeted therapy,Fuping You 
6/11,9am,Mo Xu,,NIBS,A tale of Jekyll and Hyde: Tracking the two-faced T cell response to a pathobiont,Xiaolei Su 
6/18,9am,Enfu Hui,,UCSD,Mechanistic dissection of T cell inhibitory signaling,Xiaolei Su 
6/25,9am,Fuping You,,PKU,Epigenetics and anti-viral innate immunity,Bo Zhong 
7/2,9am,Wei Chen,,Zhejiang University,Mechano-Chemical Regulation of Immunoreceptor Recognition and Triggering,Xiaolei Su 
7/9,9am,Xiaolei Su,,Yale University,Phase separation of T cell signaling,Enfu Hui 
7/16,9pm,Qiao Wang,,Fudan University,Neutralizing Antibodies against Infectious Pathogens,Xiaolei Su 
7/23,9am,Jun Wang,,NYU,Tumor-site immune modulation: target discovery for next-generation cancer immunotherapy,Xiaolei Su 
7/30,9am,Haibin Ruan,,UMN,Protein O-GlcNAcylation: a sentinel and regulator of immune responses,Xiaolei Su 
8/6,9am,Jizhong Lou,,CAS,Mechano-regulated immunoreceptor recognition: a structural perspective,Wei Chen 
8/13,9pm,Zhihua Liu,,THU,Membrane trafficking: a new cellular target of commensals,Xiaolei Su 
8/27,9pm,Wenxia Song,,Univ. Maryland,Regulating the balance of B-cell responses by the cytoskeleton,Xiaolei Su 
9/3,9am,Jun Chen,,Sun-Yat Sen Univ.,The mechanisms of phagocytosis checkpoint blockade mediated cancer immunotherapy,Enfu Hui 
9/10,9pm,Chaoran Li,,Emory Univ.,Regulation of adipose-tissue Tregs,Xiaolei Su 
9/17,9pm,Nan Yan,,UTSW,"Innate immune STING signaling in infection, autoimmune disease, and cancer ",Xiaolei Su 
9/24,9am,Xiaofei Yu,,Fudan Unvi.,Circadian regulations of T cells,Qiao Wang 
10/8,9am,Peng Wu,,Scripps,Chemical tools to boost the efficacy of cell-based immunotherapy,Xiaolei Su 
10/15,9am,Lihao Huang,,Wash U.,Interstitial lipoprotein trafficking via lymphatics in autoimmune disease - Surprising role of the immune system,Hosted by Xiaolei Su
10/22,9am,Xu Zhou,,Harvard (12/2020),Cellular and environmental interactions in tissue homeostasis and inflammation,Xiaolei Su 
10/29,9am,Yangxin Fu,,UTSW,From DNA damage to innate sensing,Haidong Tang 
11/5,9am,Tianmin Fu,,OSU,Higher-order Assemblies Drive Death Receptor Signaling,Xiaolei Su 
11/12,9am,Wanli Liu,,Tsinghua,The mechanical clues during the initiation of B cell activation,Xiaolei Su 
11/19,9am,Guangchuan Wang,,CAS SIBCB (1/2021),Using CRISPR-mediated genetically engineered mouse model to dissect the dominators in cancer immunotherapy,Xiaolei Su 
12/3,9am,Haidong Tang,,Tsinghua,Immune checkpoint molecules in host for cancer therapy,Xiaolei Su 
12/10,9am,Ting Zhou,,Westlake (2021),Synthetically tuning cytokine for next generation cancer immunotherapy,Xu Zhou 
12/17,9am,Dongfang Liu,,Rutgers,Natural Killer Cells: from basic biology to clinical application,Xiaolei Su 
12/31,9am,Nu Zhang,,UT Health San Antonio,CD8+ T cells in autoimmunity,Xiaolei Su 